"Sector" "Source" "Month" "EmissCO2_MillMetricTons" "EnerCons_TrillBTU" "IPI" "MPI"
"203" "Commercial" "Coal" 1989-11-01 0.951 9.904 61.6081 57.9815
"204" "Commercial" "Coal" 1989-12-01 2.125 22.124 61.9588 58.0111
"205" "Commercial" "Coal" 1990-01-01 1.267 13.196 61.6352 57.9569
"206" "Commercial" "Coal" 1990-02-01 1.165 12.136 62.1951 58.7663
"207" "Commercial" "Coal" 1990-03-01 0.979 10.199 62.4916 59.0786
"208" "Commercial" "Coal" 1990-04-01 0.945 9.845 62.3511 58.8528
"209" "Commercial" "Coal" 1990-05-01 0.64 6.668 62.5353 59.0293
"210" "Commercial" "Coal" 1990-06-01 0.663 6.905 62.7479 59.2305
"211" "Commercial" "Coal" 1990-07-01 0.951 9.899 62.6435 59.0919
"212" "Commercial" "Coal" 1990-08-01 0.886 9.227 62.8704 59.3149
"213" "Commercial" "Coal" 1990-09-01 0.728 7.577 62.8839 59.2446
"214" "Commercial" "Coal" 1990-10-01 0.735 7.653 62.4973 58.8461
"215" "Commercial" "Coal" 1990-11-01 1.109 11.553 61.7175 58.1401
"216" "Commercial" "Coal" 1990-12-01 1.882 19.598 61.2885 57.6624
"217" "Commercial" "Coal" 1991-01-01 1.575 16.347 61.0842 57.3013
"218" "Commercial" "Coal" 1991-02-01 1.105 11.471 60.6387 56.8799
"219" "Commercial" "Coal" 1991-03-01 0.987 10.248 60.2973 56.4856
"220" "Commercial" "Coal" 1991-04-01 0.736 7.639 60.4524 56.731
"221" "Commercial" "Coal" 1991-05-01 0.603 6.258 61.0587 57.1412
"222" "Commercial" "Coal" 1991-06-01 0.587 6.097 61.5514 57.7026
"223" "Commercial" "Coal" 1991-07-01 0.779 8.087 61.7201 58.0287
"224" "Commercial" "Coal" 1991-08-01 0.705 7.315 61.7289 58.0766
"225" "Commercial" "Coal" 1991-09-01 0.583 6.053 62.2369 58.7061
"226" "Commercial" "Coal" 1991-10-01 0.645 6.698 62.1718 58.6294
"227" "Commercial" "Coal" 1991-11-01 1.236 12.837 62.0894 58.519
